,text,position,paper,label,probability
443,Further analyses of all the S glycoprotein and SARS-CoV-2 genomes with different epidemiological aspects are warranted to get a better understanding of the pathogenesis of SARS-CoV-2.Credit author statementSyed Mohammad Lokman: Visualization; Formal analysis; Data curation; Writing - draft.Md.Rasheduzzaman: Investigation; Formal analysis; Writing - draft.Asma Salauddin: Investigation; Formal analysis.Rocktim Barua: Investigation; Visualization.Afsana Yeasmin Tanzina: Formal analysis; Writing - draft.Meheadi Hasan Rumi: Investigation; Visualization.Md.Imran Hossain: Investigation; Formal analysis.AMAM Zonaed Siddiki: Supervision; Writing - review & editing.Adnan Mannan: Conceptualization; Project administration; Writing - review & editing; Supervision.Md.,11,21,0,0.6965752
1351,"CAR [-1, 1] CAR [-2, 2]  (A) (B) Pseudo_CIPHT 0.000 0.000  (0.358) (0.225) PRO_CASE 0.000 *** 0.001 ***  (2.930) (3.721) SIZE -0.000 -0.000  (-0.587) (-0.978) ROA -0.000 -0.000  (-0.986) (-1.196) CURR -0.000 *** -0.000 ***  (-3.673) (-4.767) R&D 0.000 ** 0.000 ***  (2.519) (3.122) LOSS -0.001 -0.001 *  (-1.548) (-1.901) LEV -0.000 -0.000  (-1.011) (-1.132) OPCF -0.004 *** -0.008 ***  (-4.124) (-5.548) TURN 0.000 0.000  (0.869) (1.135) CEO_AGE 0.000 0.000  (0.134) (0.078) CEO_COM 0.000 0.000  (0.240) (0.301) CEO_TEN 0.000 *** 0.000 ***  (2.744) (3.559) CEO_DUA -0.000 -0.001  (-1.254) (-1.576) Constant 0.002 0.004  (0.597) (0.820) Week FE Yes Yes Industry FE Yes Yes Province FE Yes Yes Adjusted R2 0.003 0.005 Observations 178,805 178,805 Falsification tests.Note: *, **, *** indicate significance at the 0.10, 0.05, and 0.01 levels, respectively.See Appendix A for definitions and measurements of the variables.CIPHT CAR [-1, 1] CAR [-2, 2]  (A) (B) (C) Predicted_CIPHT  -0.001 * -0.003 ***   (-1.844) (-3.236) PRO_CASE -4.958 *** 0.001 *** 0.001 ***  (-19.035) (3.648) (4.604) SIZE 0.000 -0.000 -0.000 *  (0.082) (-1.374) (-1.695) ROA -0.000 -0.000 -0.000  (-0.040) (-1.194) (-1.456) CURR 0.001 -0.000 *** -0.000 ***  (0.658) (-4.119) (-5.284) R&D 0.000 0.000 ** 0.000 ***  (0.012) (2.487) (3.312) LOSS -0.001 -0.000 -0.001  (-0.044) (-0.924) (-1.168) LEV 0.001 -0.000 -0.000  (0.047) (-0.433) (-0.562) OPCF -0.036 -0.005 *** -0.009 ***  (-0.661) (-4.826) (-6.114) TURN -0.004 0.000 0.000  (-0.538) (0.938) (1.194) CEO_AGE 0.000 -0.000 -0.000  (0.160) (-0.346) (-0.600) CEO_COM -0.000 -0.000 0.000  (-0.036) (-0.203) (0.007) CEO_TEN -0.001 0.000 *** 0.000 ***  (-0.297) (2.932) (3.629) CEO_DUA 0.001 -0.001 * -0.001 **  (0.060) (-1.767) (-2.420) IMMIGRANT -0.306 ***    (-49.316)   EMIGRANT -0.058 ***    (-5.352)   Constant 3.869 *** -0.005 -0.007  (23.663) (-0.721) (-0.740) Week FE Yes Yes Yes Industry FE Yes Yes Yes Province FE Yes Yes Yes Pseudo R2/Adjusted R2 0.744 0.003 0.005 Observations 160,744 160,744 160,744 Continued increasing public health threats and accumulative abnormal return based on the instrumental variables (2SLS) approach.Note: *, **, *** indicate significance at the 0.10, 0.05, and 0.01 levels, respectively.",34,78,0,0.5577869
1488,"Given the mandated quarantine for discharged patients at a designated center for a minimum of 14 days followed by another 14 days at home (total 28 days of strict social distancing, shelter-in-place), the observed overall rate and multiple recurrence of positive viral testing are unlikely to be from re-infection.This contrasts with the recently case reports in South Korea, where in recovered patients were home quarantined and recurrence of PCR positivity there could have arisen from either dormant virus reactivation or re-infection.COVID-19 patients with multiple recurrences of PCR positivity have not been previously reported.Thirteen and three cases recurred two and three times with PCR positivity, respectively, making it likely that the re-emergence of PCR positivity is due to low levels of viral RNA right at the level of detectability by PCR assay and therefore is at times below this threshold and other times above.The Ct values observed in the samples after the initial positive samples are all high suggesting potential non-viable viral RNA.However, the reimmigration of the virus from the lower to the upper respiratory tract cannot be ruled out.Importantly, it must be noted that the positive SARS-CoV-2 test does not equate with infectivity.Since the current standard for SARS-CoV-2 test positivity is predicated on viral load detection by PCR, sample testing in the case cohort of < 106 copies per sample may not represent a live virus isolate.Unless equipped with a live virus isolate, we cannot be certain whether these retest positive patients were capable of infecting others (contagious) given that they were quarantined at a designated center.To address the possibility of false positive SARS-CoV-2 PCR results, every retest was validated by examinations at both laboratories of Center for Disease Control in Shenzhen and the Second Affiliated Hospital of Southern University of Science and Technology.95% tests were consistent.The PCR retest positivity cannot differentiate re-infectivity, relapse, and dead-viral RNA detection.Handoff note, a postmortem pathological study found that SARS-CoV-2-viruses still remained in pneumocytes of a recovered COVID-19 patient with a negative PCR test result.Ninety-three percent of the retest positive patients had mild or moderate severity disease during their first hospitalization.No obvious trending was found in this case series between the initial viral load and first admission symptoms as has been previously reported, e.g.temperature (Supplementary Fig.S6), consistent with previous findings.The two readmitted febrile patients with typical clinical manifestations satisfying the COVID-19 diagnostic and admitting criteria may have been capable of transmission given the presence of positivity with both viral load testing and COVID-19 admission symptoms.The key rationale of the local health policy for implementing the described strict center-based quarantine is to prevent transmission.Our findings demonstrate that the effectiveness of this quarantine strategy in the management of the pandemic may be crucial in minimizing late transmission.",11,85,0,0.6977323
259,"For such statements, authors must provide supporting data or cite public sources that include it.To enhance the reproducibility of your results, we recommend that you deposit your laboratory protocols in protocols.io, where a protocol can be assigned its own identifier (DOI) such that it can be cited independently in the future.Additionally, PLOS ONE offers an option to publish peer-reviewed clinical study protocols.Read more information on sharing protocols at https://plos.org/protocols?utm_medium=editorial-email&utm_source=authorletters&utm_campaign=protocolsPlease review your reference list to ensure that it is complete and correct.If you have cited papers that have been retracted, please include the rationale for doing so in the manuscript text, or remove these references and replace them with relevant current references.Any changes to the reference list should be mentioned in the rebuttal letter that accompanies your revised manuscript.Please note, when your manuscript is accepted, an uncorrected proof of your manuscript will be published online ahead of the final version, unless you've already opted out via the online submission form.If, for any reason, you do not want an earlier version of your manuscript published online or are unsure if you have already indicated as such, please let the journal staff know immediately at plosmedicine@plos.org.If you have any questions in the meantime, please contact me or the journal staff on plosmedicine@plos.org.We look forward to receiving the revised manuscript by May 12 2021 11:59PM.Sincerely,Dr Raffaella Bosurgi, Executive Editor PLOS Medicineplosmedicine.org------------------------------------------------------------Requests from Editors:Comments from Reviewers:Any attachments provided with reviews can be seen via the following link:[LINK]10.1371/journal.pmed.1003656.r005Author response to Decision Letter 2 7 May 2021 10.1371/journal.pmed.1003656.r006Decision Letter 3BosurgiRaffaellaThis is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",36,11,0,0.66214097
1357,"CAR [-1, 1] CAR [-2, 2]  (A) (B) CDPHT 0.003 *** 0.004 ***  (6.511) (7.598) PRO_CASE 0.001 *** 0.001 ***  (3.443) (4.318) SIZE -0.000 -0.000  (-0.589) (-0.980) ROA -0.000 -0.000  (-0.987) (-1.197) CURR -0.000 *** -0.000 ***  (-3.661) (-4.754) R&D 0.000 ** 0.000 ***  (2.519) (3.122) LOSS -0.001 -0.001 *  (-1.549) (-1.902) LEV -0.000 -0.000  (-1.011) (-1.132) OPCF -0.004 *** -0.008 ***  (-4.125) (-5.550) TURN 0.000 0.000  (0.869) (1.136) CEO_AGE 0.000 0.000  (0.132) (0.076) CEO_COM 0.000 0.000  (0.239) (0.300) CEO_TEN 0.000 *** 0.000 ***  (2.739) (3.553) CEO_DUA -0.000 -0.001  (-1.248) (-1.570) Constant 0.002 0.003  (0.463) (0.626) Week FE Yes Yes Industry FE Yes Yes Province FE Yes Yes Adjusted R2 0.003 0.005 Observations 178,805 178,805 Continued decreasing public health threats and accumulative abnormal return.Note: *, **, *** indicate significance at the 0.10, 0.05, and 0.01 levels, respectively.See Appendix A for definitions and measurements of the variables.CAR [-1, 1] CAR [-2, 2]  (A) (B) CIPHT -0.007 *** -0.012 ***  (-7.105) (-8.778) CIPHT x POST_Lockdown 0.007 *** 0.011 ***  (6.766) (8.379) POST_Lockdown -0.006 *** -0.010 ***  (-6.449) (-7.826) PRO_CASE 0.000 ** 0.001 ***  (2.319) (2.945) SIZE -0.000 -0.000  (-0.592) (-0.984) ROA -0.000 -0.000  (-0.986) (-1.196) CURR -0.000 *** -0.000 ***  (-3.666) (-4.759) R&D 0.000 ** 0.000 ***  (2.519) (3.122) LOSS -0.001 -0.001 *  (-1.549) (-1.902) LEV -0.000 -0.000  (-1.012) (-1.134) OPCF -0.004 *** -0.008 ***  (-4.130) (-5.557) TURN 0.000 0.000  (0.867) (1.133) CEO_AGE 0.000 0.000  (0.132) (0.075) CEO_COM 0.000 0.000  (0.239) (0.301) CEO_TEN 0.000 *** 0.000 ***  (2.744) (3.558) CEO_DUA -0.000 -0.001  (-1.247) (-1.568) Constant 0.004 0.008  (1.164) (1.620) Week FE Yes Yes Industry FE Yes Yes Province FE Yes Yes Adjusted R2 0.003 0.005 Observations 178,805 178,805 Continued increasing public health threats and accumulative abnormal return conditioning on the start of community lockdown.Note: *, **, *** indicate significance at the 0.10, 0.05, and 0.01 levels, respectively.",40,78,0,0.5791458
180,"SARS-CoV-2 infection did not affect levels of ACE2 expression, but noticeably induced MIRb-ACE2 expression (Fig.4b).Lastly, analysis of RNA-seq data from explanted lung tissue from a single COVID-19 patient demonstrated elevated expression of MIRb-ACE2, but not of ACE2, compared with healthy lung tissue (Fig.4c), albeit statistical comparisons were not possible in this case.To further confirm the IFN-responsiveness exclusively of MIRb-ACE2 expression, we used SCC-4 and SCC-25 cells, which express both isoforms.Compared with mock treatment, addition of recombinant IFNalpha or IFNgamma had a minimal effect on ACE2 expression in SCC-4 cells and no effect in SCC-25 cells (Fig.4d).This contrasted with very strong induction (~15-fold) of MIRb-ACE2 expression by either type of IFN in both cell lines (Fig.4d).Lack of ACE responsiveness to IFN stimulation was additionally confirmed at the protein level, where neither IFNalpha nor IFNgamma affected levels of full-length ACE2, detected by Western blotting in SCC-4 and SCC-25 cells or in A549 cells, which express neither isoform and were used as a negative control (Fig.4e).Splicing from the LTR16A1 retroelement to exon 10 of ACE2 is in-frame and therefore the last 449 amino acids of ACE2 are also present in the putative MIRb-ACE2 protein.Of note, despite strong upregulation at the mRNA level and despite using polyclonal antibodies (ab15348) targeting the C-terminus of ACE2 present in both protein products, we were unable to detect a truncated form that would correspond to the MIRb-ACE2 translation product in SCC-4 or SCC-25 cells (Fig.4e).To confirm the differential IFN inducibility of ACE2 and MIRb-ACE2 expression, we stimulated NHBE cells with IFNalpha, IFNbeta or IFNlambda, as previously described.Again, treatment with none of the IFNs had any measurable effect on ACE2 expression in these primary cells (Fig.4f).This contrasted with robust induction of MIRb-ACE2 expression, particularly by IFNalpha (Fig.",6,9,0,0.6386454
426,"The RPN pools (n = 304) were prepared in an isolated class II biological safety cabinet at a separate location from the Clinical Microbiology and research labs that had never been used for handling respiratory specimens or viruses.Briefly, 400 microL of viral transport medium from each specimen was manually aliquoted one at a time into a sterile 5 mL snap-cap centrifuge tube (ASi, C2520).Once each specimen was aliquoted, the 4 mL volume was mixed manually by pipetting and 600 muL aliquots were reserved for SARS-CoV-2 NAAT.RPN specimens and pools were stored at -80  C.SARS-CoV-2 NAATTo test for SARS-CoV-2 in RPN pools, 600 muL aliquots underwent NAAT by the cobas  6800 SARS-CoV-2 real-time RT-PCR Test (Roche, 09175431190) in the MSHS Clinical Microbiology Laboratory, which is certified under Clinical Laboratory Improvement Amendments of 1988 (CLIA), 42 U.S.C.263a and meets the requirements to perform high complexity tests.Aliquots were run in batches with one cobas  Buffer Negative Control (BUF (-) C) (Roche, 07002238190) and one cobas  Positive Control (SARS-CoV-2 (+) C) (Roche, 09175440190).The assay utilizes two targets to detect SARS-CoV-2 RNA: the SARS-CoV-2-specific ORF1ab gene and the pan-Sarbecovirus envelope E gene.All target results were valid across all 304 RPN pools tested.Optimized extraction of total RNA from poolsTotal RNA was extracted manually from 1 mL aliquots of each RPN pool positive for ORF1ab and/or E gene targets by reverse transcription-polymerase chain reaction (RT-PCR), utilizing the QIAamp UltraSens Virus Kit (Qiagen, 53706) and using an optimized protocol.Prior to extraction, all RPN pools were equilibrated to room temperature for at least 30 min.Briefly, 1 mL of the pooled viral transport medium was transferred to a 2 mL Dolphin Tube (Genesee Scientific, 24-284), lysed by adding 800 muL Buffer AC, and manually mixed by pipetting up and down.Carrier RNA (5.6 muL) was added to each tube and each mixture was vortexed one at a time.Lysates were incubated at room temperature for 10 min and spun at 5000 x g for 3 min.Tubes were opened and supernatants were removed from each tube within a biological safety cabinet.Lysates were moved to an isolated clean research space designated for nucleic acid extraction.A mixture of Buffer AR (300 muL) and proteinase K (20 muL) pre-warmed to 60  C was added to each lysate, which was then vortexed for 20 s. Lysates were incubated on a ThermoMixer C (Eppendorf, 2231000667) at 40  C, shaking at 2200 r.p.m.for 10 min.Lysates were then spun down and 300 muL Buffer AB was added to each tube.",11,20,0,0.57804644
1607,"Another construct (Tri) with the proline substitutions (K986P/V987P), furin recognition site substitutions (aa 682 to 685 RRAR to GSAS), and C-terminal 19-aa deletion of ERRS was also synthesized.Constructs with these single mutations were generated by site-directed mutagenesis.The rMVAs were produced by homologous recombination, clonally purified by repeated plaquing, and physically purified by sedimentation through sucrose.Detection of S Protein by Flow Cytometry.For intracellular staining, cells were fixed and permeabilized and incubated with anti-CoV-2 Spike RBD mAb followed by APC-conjugated goat anti-mouse IgG antibody.For surface detection, the cells were stained directly using the same primary and secondary antibodies.The binding of hACE2 to surface-expressed S protein on infected HeLa cells was detected by incubating with biotinylated human ACE2 protein followed by Alexa Fluor 647-conjugated anti-hACE2 antibody.The stained cells were acquired on a FACSCalibur cytometer using Cell Quest software and analyzed with FlowJo software.Detection of S-Binding Antibodies by ELISA.CoV-2 S protein produced in HEK293 cells was adsorbed to wells of a 96-well flat-bottom plate and incubated with serum.After adsorption, the wells were washed, blocked, washed again, and incubated with dilutions of serum.HRP-conjugated goat anti-mouse IgG (H+L) was added to each well.Spectrophotometric measurements were made at A450 and A650 using a plate reader.Final end point titers (1/n) for each sample were determined as fourfold above the average optical density (OD) of those wells not containing primary antibody (OD 0.03 to 0.04).Stimulation and Staining of Lymphocytes.Splenocytes were mixed with individual peptide pools in 96-well plates and incubated at 37  C for 1 h, after which Brefeldin A was added and incubation continued for 4 h to 5 h. Surface staining was performed with anti-mouse CD3-FITC, anti-mouse CD4-PE, and anti-CD8-PerCP-Cy5.5 for 1 h. Cells were then fixed and permeabilized with Cytofix/Cytoperm solution and stained with IFNgamma-APC and fixed with 2% paraformaldehyde.Approximately 100,000 events were acquired on a FACSCalibur cytometer using Cell Quest software and analyzed with FlowJo software.Pseudovirus Neutralization Assay.The CoV-2 lentivirus pseudotype assay was carried out as described by Corbett et al.using cells and plasmids obtained from the National Institute of Allergy and Infectious Diseases (NIAID) Vaccine Research Center.",17,92,0,0.54459685
121,"The RBD sequences of different SARS-CoV-2 strains that are circulating globally were initially thought to be conserved; however, with the availability of sequencing data several mutations have been reported.These findings emphasize the argument, that there may be correlation of the mutated strains circulating in a particular geographic setting with higher mortality rates and transmission patterns beside other combating factors.The mutation rate in ribonucleic acid (RNA) viruses is intensely high which can be million times higher than that of their hosts and this results in virulence modulation and evolutionary capability for better viral adaptation.Genetic depiction of virus mutations can thus offer valuable insights for assessing the fitness of drug resistance, immune escapism, and pathogenesis.Due to its receptor binding property, the S protein is also supposed to be immunogenic and a putative target for developing the neutralizing antibodies and vaccines.It is reported that single-point mutations in the conserved amino acid residues in the RBD region completely abolishes the capacity of full-length S protein to induce neutralizing antibodies.Thus, virus mutation studies can be crucial for designing new vaccines and antiviral drugs.In this study, we aimed to predict the mutations in the spike protein (S) of SARS-CoV-2 genomes available in the database (whole genome sequences as well as partial coding sequences of spike protein) and analyze the effect of each mutation on the antigenicity of the predicted epitopes.This information may be helpful in predicting the transmission and infectivity of various SARS-CoV-2 strains circulating worldwide.Materials and MethodsSelection of SARS-CoV-2 Datasets Entrez Direct (EDirect) utilities were used to access the NCBI's nucleotide database by using in-house developed bash scripts to batch download the data.We used query keyword or phrase as ""severe acute respiratory syndrome coronavirus 2"" and ""spike coding sequences (CDS)"" by applying ESearch and EFetch utilities implemented in bash scripts to download the dataset for genome and spike proteins that were available till May 1, 2020.A total of 1,325 complete draft genomic sequences of SARS-CoV-2 and additional 279 CDS having partial genomes coding spike protein (total 1,604 CDS of spike protein) were downloaded in FASTA format available globally from NCBI database ( Fig.1 ).SARS-COV-2 genome datasets from different countries available on NCBI till May 1, 2020.SARS-COV-2, severe acute respiratory syndrome coronavirus 2.Multiple Sequence Alignment and Correlation of Genomic SNPs and Protein Mutations Multiple sequence alignment (MSA) of all the 1,325 complete genome sequences as well as 1,604 CDS was performed using ClustalW-MPI with default parameters.Generated SNPs were identified by in-house developed bash scripts to batch process the data using Blade Server (Dell PowerEdge FC640 Server) with 256 GB RAM and 40 Core processor with 2.30 GHz.",2,6,0,0.675023
926,"TMPRSS2 protein localization visualized using the Protter sever.Dynamic Cross-Correlation Map (DCCM) analysis of TMPRSS2 native and mutants: (a) wild type, (b) V160M, (c) G181R, (d) R240C, (e) P335L, (f) G432A, and (g) D432Y.Missense variants identified to be deleterious or damaging using different algorithms.SNP ID Amino acid change SIFT PolyPhen2.0 PROVEAN SNAP2 PMut   Score Prediction Score Prediction Score Prediction Score Prediction   rs12329760 V160M 0.01 D 0.997 P. D -1.891 N 95 E Dis   rs781089181 G181R 0.06 T 1.000 P. D -6.057 Del 45 E Dis   rs762108701 R240C 0.01 D 1.000 P. D -5.224 Del 63 E N   rs1185182900 P335L 0.02 D 0.985 P. D -7.515 Del 39 E Dis   rs570454392 G432A 0.00 D 1.000 P. D -5.631 Del 63 E Dis   rs867186402 D435Y 0.00 D 1.000 P. D -7.975 Del 74 E Dis   Legend: D: damaging; T: tolerated, P. D: probably damaging; Del: deleterious; N: neutral; E: effect; Dis: disease.Prediction of effect of missense variants on phylogenetic conservation, phenotypic analysis, and posttranslational modification sites in human TMPRSS2 protein.SNP ID Variant Posttranslational modifications (PTMs) by ModPred Phylogenetic conservation Predicted effect by MutPred   rs12329760 V160M : 6, B :   rs781089181 G181R : 9, B Loss of loop   Altered transmembrane protein   Gain of helix   Loss of disulfide linkage at C185   Gain of ADP-ribosylation at G181      rs762108701 R240C Proteolytic cleavage 5, E :   ADP-ribosylation      rs1185182900 P335L Proteolytic cleavage 3, E :      rs570454392 G432A Proteolytic cleavage 9, E, F Loss of relative solvent accessibility   Loss of loop   Altered transmembrane protein   Altered metal binding   Gain of disulfide linkage at C437   Gain of catalytic site at D435   Gain of pyrrolidone carboxylic acid at Q431      rs867186402 D435Y Proteolytic cleavage 9, E, F Altered transmembrane protein   Altered ordered interface   Altered metal binding   Loss of relative solvent accessibility   Loss of catalytic site at G439   Gain of disulfide linkage at C437   Gain of pyrrolidone carboxylic acid at Q43   Gain of sulfation at D435   Effects of mutation on protein stability by I-Mutant, MUpro, iStable, and STRUM.SNP ID Amino acid variant I-Mutant MUpro iStable STRUM   rs12329760 V160M Decrease Decrease Decrease Destabilizing   rs781089181 G181R Decrease Decrease Decrease Destabilizing   rs762108701 R240C Decrease Decrease Decrease Destabilizing   rs1185182900 P335L Decrease Increase Increase Destabilizing   rs570454392 G432A Decrease Decrease Decrease Stabilizing   rs867186402 D435Y Increase Decrease Increase Destabilizing   Missense variant analysis by CUPSAT tool.SNP ID Amino acid variant Stability Torsion Predicted   G (kcal/mol)   rs12329760 V160M Destabilizing Favorable -3.39   rs781089181 G181R Destabilizing Favorable -0.57   rs762108701 R240C Stabilizing Favorable 0.75   rs1185182900 P335L Destabilizing Unfavorable -2.39   rs570454392 G432A Destabilizing Favorable -6.86   rs867186402 D435Y Destabilizing Favorable -1.68   Prediction of TMPRSS2 flexibility using FlexPred server.Position Residues S_LBL ((R) rigid or flexible (F) label) S_PRB (probability of flexible (F) label)   160 VAL R 0.4874   181 GLY R 0.6059   240 ARG R 0.5174   335 PRO R 0.5862   432 GLY F 0.7747   435 ASP R 0.6696   Flexibility analysis by PredyFlexy.RMSF B-factor Confidence index (CI)   V160M 0.687 0.574 8   G181R 0.725 0.824 7   R240C -0.359 -0.375 10   P335L 0.854 0.601 11   G432A 0.788 0.690 2   D435Y -0.105 0.195 6    TMPRSS2 structure validation using Verify3D and PROCHECK servers.Verify3D PROCHECK   % of amino acid scored > 0.2 in the 3D/1D profile Favored region Allowed region Disallowed region   Native 93.02 86.9% (258) 12.8% (38) 0.3% (1)   V160M 97.09 88.9% (264) 10.1% (30) 1.0% (3)   G181R 93.02 89.3% (266) 10% (30) 0.7% (2)   R240C 96.80 89.9% (267) 9.4% (28) 0.7% (2)   P335L 95.64 90.6% (270) 8.7% (26) 0.7% (2)   G432A 99.42 88.6% (264) 10.7% (31) 0.7% (2)   D435Y 94.19 87.2% (259) 11.8% (35) 1.0% (3)   Structure alignment comparing mutant models and native TMPRSS2 proteins.Position Variant TM-align score server   Align RMSD TM-score   160 V160M 7 meq1.A 0.51 0.99435   181 G181R 7 meq1.A 0.51 0.99431   240 R240C 7 meq1.A 0.58 0.99304   335 P335L 7 meq1.A 0.53 0.99403   432 G432A 7 meq1.A 0.44 0.99590   435 D435Y 7 meq1.A 0.48 0.99510   Ligand binding site prediction of the TMPRSS2 protein by RaptorX binding.Pocket Multiplicity Ligand Binding residues   1 55 QGG, SO4, BEN, TFA, CH2 H296, D435, S436, C437, Q438, G439, S441, T459, S460, W461, G462, S463, G464   2 19 SO4 Y416, S463, G464   3 19 SO4 D338, N343, N344   4 14 SO4 P335, W483, Q487   5 11 SO4, PG4 Q276, N277, L302   The bold values show the residues included in the current study.Ligand binding site prediction of the TMPRSS2 gene.",19,50,1,0.6034866
